Player ID,Player Name,Tournament,Match ID,Innings Number,Team Standing,Opposition Standing,Total Runs Of Own Team,Total Wickets Lost By Own Team,Total Balls Played By Own Team,Total Runs Of Opposition Team,Total Wickets Lost By Opposition Team,Total Balls Played By Opposition Team,Runs Made,Balls Consumed,Batting Position,Dismissed,Special Batting Talent,Balls Bowled,Runs Given,Wickets Taken,Maidens Bowled,Batters Dismissed,Special Bowling Talent
11,Ubaid Shah,Champions T20 cup 2024,DNP,,,,,,,,,,,,,,,,,,,,
11,Ubaid Shah,National T-20 2025,35,1,7,2,181,3,120,182,2,112,,,,,,22,57,1,0,3,
11,Ubaid Shah,National T-20 2025,12,1,7,18,215,4,120,81,10,107,,,,,,12,12,1,0,3,
11,Ubaid Shah,National T-20 2025,28,2,7,17,88,0,53,86,8,120,,,,,,24,8,1,0,5,
11,Ubaid Shah,National T-20 2025,29,1,7,9,146,9,120,138,9,120,2,11,10,YES,,24,27,3,0,"1,5,6",
11,Ubaid Shah,National T-20 2025,33,1,7,4,130,5,120,131,4,107,,,,,,18,25,1,0,5,
11,Ubaid Shah,Champions T20 cup 2024,DNP,,,,,,,,,,,,,,,,,,,,
11,Ubaid Shah,Champions T20 cup 2024,DNP,,,,,,,,,,,,,,,,,,,,
11,Ubaid Shah,Champions T20 cup 2024,7,2,1,2,167,5,120,170,6,120,4,4,8,NO,,24,42,0,0,,
11,Ubaid Shah,Champions T20 cup 2024,9,1,1,5,190,4,120,185,9,120,,,,,,24,37,1,0,10,
11,Ubaid Shah,Champions T20 cup 2024,11,2,1,4,170,4,120,168,7,120,,,,,,24,38,0,0,,
11,Ubaid Shah,Champions T20 cup 2024,14,1,1,3,168,10,120,169,7,114,17,6,8,YES,,18,27,0,0,,
11,Ubaid Shah,Champions T20 cup 2024,DNP,,,,,,,,,,,,,,,,,,,,
11,Ubaid Shah,Champions T20 cup 2024,DNP,,,,,,,,,,,,,,,,,,,,
11,Ubaid Shah,Champions T20 cup 2024,DNP,,,,,,,,,,,,,,,,,,,,
12,M__Amir_Khan__12_,National T-20 2025,25,2,2,17,132,3,79,131,9,120,,,,,,24,23,3,1,"1,3,6",
