Player ID,Player Name,Tournament,Match ID,Innings Number,Team Standing,Opposition Standing,Total Runs Of Own Team,Total Wickets Lost By Own Team,Total Balls Played By Own Team,Total Runs Of Opposition Team,Total Wickets Lost By Opposition Team,Total Balls Played By Opposition Team,Runs Made,Balls Consumed,Batting Position,Dismissed,Special Batting Talent,Balls Bowled,Runs Given,Wickets Taken,Maidens Bowled,Batters Dismissed,5
428,Iftikhar Ahmed Champions,National T20  2024,35,2,2,1,140,7,19.2,139,7,20,20,33,5,YES,,,,,,,
428,Iftikhar Ahmed Champions,National T20  2024,37,1,2,2,243,3,20,87,8,20,2,1,4,YES,,18,31,2,0,"3,6",
428,Iftikhar Ahmed Champions,National T20  2024,39,1,2,1,110,9,20,111,1,16,34,33,6,YES,,24,28,0,0,0,
428,Iftikhar Ahmed Champions,Cup  One day 2024,2,2,3,6,239,2,233,238,10,300,56,44,4,NO,,60,41,0,0,0,
428,Iftikhar Ahmed Champions,Cup  One day 2024,7,2,3,9,246,4,228,312,4,300,23,23,4,YES,,60,59,0,0,0,
428,Iftikhar Ahmed Champions,Cup  One day 2024,9,1,3,1,379,4,300,344,8,282,154,81,4,NO,,60,46,2,1,"4,5",
428,Iftikhar Ahmed Champions,Cup  One day 2024,17,2,3,2,259,10,273,333,6,300,3,13,4,YES,,24,37,0,0,0,
429,Sarwar Afridi Champions,Champions T20 cup 2024,1,2,2,3,154,6,114,150,7,120,16,16,7,YES,,18,11,2,0,"2,5",
429,Sarwar Afridi Champions,Champions T20 cup 2024,5,2,2,5,132,8,113,128,9,120,13,12,6,YES,,,,,,,
429,Sarwar Afridi Champions,Champions T20 cup 2024,7,1,2,1,170,6,120,167,6,120,21,11,5,YES,,12,14,1,0,3,
429,Sarwar Afridi Champions,Champions T20 cup 2024,10,1,2,4,163,8,120,169,4,113,0,1,7,YES,,6,13,0,0,0,
429,Sarwar Afridi Champions,Champions T20 cup 2024,12,2,2,3,189,7,120,187,7,120,2,5,5,YES,,,,,,,
429,Sarwar Afridi Champions,Champions T20 cup 2024,15,2,2,5,140,2,85,139,8,120,,,,,,,,,,,
429,Sarwar Afridi Champions,Champions T20 cup 2024,17,2,2,1,118,10,111,147,9,120,,,,,,,,,,,
429,Sarwar Afridi Champions,Champions T20 cup 2024,19,2,2,4,160,4,81,155,6,120,,,,,,,,,,,
429,Sarwar Afridi Champions,Champions T20 cup 2024,21,1,2,3,180,6,120,151,9,120,,,,,,,,,,,
429,Sarwar Afridi Champions,Champions T20 cup 2024,22,2,2,1,124,10,115,199,5,120,,,,,,,,,,,
429,Sarwar Afridi Champions,National T20  2024,9,2,3,4,154,6,103,149,10,120,18,12,5,Yes,,,,,,,
429,Sarwar Afridi Champions,National T20  2024,16,1,3,1,110,3,86,107,10,113,17,16,5,Yes,,,,,,,
429,Sarwar Afridi Champions,National T20  2024,26,2,3,2,93,10,104,167,7,120,7,9,6,Yes,,12,18,0,0,0,
429,Sarwar Afridi Champions,TROPHY 2024,2,1,2,1,391,10,101.4,535,8,158.5,17,36,6,Yes,,30,22,0,1,0,
429,Sarwar Afridi Champions,TROPHY 2024,,3,,,156,10,50.3,13,0,2.5,17,51,7,Yes,,,,,,,
429,Sarwar Afridi Champions,TROPHY 2024,10,2,2,6,448,10,103.2,170,10,52.1,138,142,6,No,,24,3,0,3,0,
429,Sarwar Afridi Champions,TROPHY 2024,,4,,,,,,149,9,51.5,,,,,,18,2,0,1,0,
429,Sarwar Afridi Champions,TROPHY 2024,23,2,2,4,18,1,5,259,10,94.2,,,,,,30,23,0,0,0,
429,Sarwar Afridi Champions,TROPHY 2024,,4,,,,,,,,,,,,,,,,,,,
429,Sarwar Afridi Champions,TROPHY 2024,34,2,2,5,343,10,92.4,187,10,58.2,58,80,6,Yes,,24,15,1,1,1,
429,Sarwar Afridi Champions,TROPHY 2024,,4,,,,,,118,8,34,,,,,,,,,,,
429,Sarwar Afridi Champions,TROPHY 2024,41,2,2,3,230,10,57,287,10,64.2,67,62,6,Yes,,24,14,1,1,1,
429,Sarwar Afridi Champions,TROPHY 2024,,4,,,178,4,46.2,120,10,31.4,0,1,5,Yes,,,,,,,
429,Sarwar Afridi Champions,Cup  One day 2024,1,2,7,4,250,7,270,320,8,300,4,15,4,YES,,36,19,1,1,3,
429,Sarwar Afridi Champions,Cup  One day 2024,5,2,7,8,254,5,296,252,9,300,2,10,6,YES,,60,36,2,2,"3,5",
429,Sarwar Afridi Champions,Cup  One day 2024,8,1,7,5,295,8,300,297,5,282,20,17,6,YES,,27,40,1,0,5,
429,Sarwar Afridi Champions,Cup  One day 2024,15,1,7,2,248,10,266,252,4,222,21,27,5,YES,,24,43,0,0,0,
429,Sarwar Afridi Champions,Cup  4 day 2024,3,1,4,2,171,10,62.1,172,10,54.1,9,15,5,YES,,18,7,0,0,0,
